feature,start_hour,window_label,center_hour,center_hour_mod,W_obs_full,W_boot_mean,W_boot_std,W_null_mean,W_null_std,W_t_stat,W_p_ttest,W_n_null_valid
MEANf_z,0.0,000.0-003.0,1.5,1.5,-0.007366775589020035,0.024974083931928067,0.055527859288619405,-0.005447931915717381,0.07345491558869385,-0.36943133418781116,0.7121990537217289,200
VARf_z,0.0,000.0-003.0,1.5,1.5,0.06060126911434532,-0.023415724575735552,0.07487337382476641,-0.003065259485400205,0.07188914761020035,12.524570287462854,6.458937606473529e-27,200
SKEWf_z,0.0,000.0-003.0,1.5,1.5,0.10335782336843881,-0.07667181994801793,0.10330707758340177,0.0034153535790435318,0.1931132007777794,7.319023021935714,6.028868104872186e-12,200
KURTf_z,0.0,000.0-003.0,1.5,1.5,0.027023071452992566,0.07649693651619204,0.09650498214864875,0.004351235365811848,0.15179680753798525,2.1122195254579,0.03591484948655141,200
NBPEAKS_z,0.0,000.0-003.0,1.5,1.5,-0.176733384333792,-0.13101699711178236,0.0792211206997259,0.008766501003269879,0.12351877366534332,-21.238589558303946,4.74476365614773e-53,200
LEQf_z,0.0,000.0-003.0,1.5,1.5,0.023837538669096117,0.12628152975968807,0.06427787508355086,-0.007970505020804161,0.14873737218113886,3.024348630015475,0.002820105677625645,200
ENRf_z,0.0,000.0-003.0,1.5,1.5,0.21403762867233733,0.1123376484205736,0.06574980775554798,-0.013112006304820269,0.1533375084603879,20.949740066748287,3.1315119791799883e-52,200
BGNf_z,0.0,000.0-003.0,1.5,1.5,0.4010678597683205,0.3659258161014807,0.07020385242534026,0.00023132386462915378,0.18150853281836365,31.23095408065019,1.2079331380347706e-78,200
SNRf_z,0.0,000.0-003.0,1.5,1.5,0.042838076004899875,0.10568226615706373,0.09103525667813359,0.013473461312350722,0.08421011258252149,4.9314547954520505,1.7179345264216255e-06,200
Hf_z,0.0,000.0-003.0,1.5,1.5,0.03616513390009977,0.015067208838324643,0.06773975013636784,-0.015574591952225185,0.1576849354826781,4.6403305293460795,6.300749832553721e-06,200
EAS_z,0.0,000.0-003.0,1.5,1.5,0.2899205551110179,0.11045491469500554,0.0722417989366102,-0.0015391772067983828,0.07842226872388182,52.5598548775426,1.2212953983428058e-118,200
ECU_z,0.0,000.0-003.0,1.5,1.5,0.3999793621443431,0.3012354951105608,0.08019742928994988,-0.018183220199274243,0.2306728196437277,25.636795706605913,5.637829471379091e-65,200
ECV_z,0.0,000.0-003.0,1.5,1.5,0.10509311841031682,0.15242131894632618,0.0734486687943632,-0.009011111289542975,0.14314415415599005,11.273093904332802,4.102459550016161e-23,200
