window_label,start_hour,end_hour,center_hour,center_hour_mod,n_obs,n_zones,rho_obs,R2_obs,R2_boot_mean,R2_boot_std,R2_ci_low,R2_ci_high,p_perm_empirical,t_stat_perm,p_t_perm
000.0-003.0,0.0,3.0,1.5,1.5,8672,30,0.1587879941134555,0.025213627074574783,0.028751214364530882,0.014057572471991544,0.00899022578831019,0.06371991301822895,0.011976047904191617,63.87288109934946,2.4972923779728157e-242
000.5-003.5,0.5,3.5,2.0,2.0,8320,30,0.17178919011355176,0.029511525839870028,0.03243984515043722,0.017189497487145523,0.010121545271460072,0.07120410676508415,0.013972055888223553,70.66004722457656,4.894427921147652e-262
001.0-004.0,1.0,4.0,2.5,2.5,7947,30,0.1860665905924784,0.03462077613470897,0.03373838717979321,0.01609793160344706,0.012799523447098405,0.0664768423419273,0.003992015968063872,72.43316832257933,6.236010595229842e-267
001.5-004.5,1.5,4.5,3.0,3.0,7593,30,0.201520000700035,0.04061031068214211,0.04776114328090982,0.02594677525271692,0.012565908196327661,0.11908003283225536,0.013972055888223553,69.07442121662021,1.4218402818808174e-257
002.0-005.0,2.0,5.0,3.5,3.5,7414,30,0.1819465344712801,0.03310454140610872,0.029593108700805417,0.013590556875537459,0.011199502802146167,0.053951823160119594,0.007984031936127744,72.21759820898846,2.424901042464561e-266
002.5-005.5,2.5,5.5,4.0,4.0,7215,30,0.13301707415770417,0.01769354201747617,0.019451299914300526,0.0077139012333010465,0.007565745062085753,0.03061175568998341,0.023952095808383235,56.05621513645841,1.6871756936622986e-217
003.0-006.0,3.0,6.0,4.5,4.5,7135,30,0.1110769616862586,0.01233809141745056,0.01316090083550483,0.005920919305636118,0.004338427533565499,0.024106372347527563,0.027944111776447105,50.11502468974486,7.031291997385031e-197
003.5-006.5,3.5,6.5,5.0,5.0,7197,30,0.07227449473564225,0.00522360258929238,0.006146472268169985,0.003887713553826126,0.0008941134768452831,0.014215062096896987,0.1437125748502994,30.643391240040668,9.092617971966449e-117
004.0-007.0,4.0,7.0,5.5,5.5,7390,30,0.01803287898826424,0.00032518472460538194,0.0009215724015285697,0.0012687524848670128,6.271705828912617e-07,0.004085236258941396,0.7225548902195609,8.895823871741143,1.068694735005949e-17
004.5-007.5,4.5,7.5,6.0,6.0,7641,30,-0.0008761564273001808,7.676500850994171e-07,0.0003675856785735641,0.00039079095534534257,6.65033310351131e-07,0.0011211445776385955,0.9880239520958084,0.7637829241886163,0.44535758989486884
