feature,W_obs_full,W_boot_mean,W_boot_std,W_boot_mean_test,W_boot_std_test,W_n_boot_valid,W_null_mean,W_null_std,W_n_null_valid,W_t_stat,W_p_ttest,sign_consistency,delta_mean,effect_size,abs_effect_size,p_fdr,significant_fdr,significant_vs_null,stars,abs_W_obs_full
EAS_z,0.5356973772437383,0.09102122483532428,0.15738910541533596,0.09102122483532425,0.15738910541533596,30,-0.00833895124741133,0.20354352831457895,300,3.200489697206746,0.002710657365084243,0.7666666666666667,0.09936017608273558,0.546127563878775,0.546127563878775,0.012510726300388814,True,True,**,0.5356973772437383
ECV_z,-0.5268539550456606,0.11444912008902809,0.1592091786149323,0.11444912008902808,0.15920917861493233,30,-0.001308493121596503,0.21328225161053477,300,3.666908364897106,0.0007110001991161202,0.8,0.11575761321062458,0.6150845875026996,0.6150845875026996,0.004740001327440801,True,True,***,0.5268539550456606
ACI_z,-0.5016111930745848,0.029547009493920064,0.21330871199748558,0.02954700949392006,0.2133087119974856,30,0.01357982504616591,0.1896254681308683,300,0.39469733712645344,0.6955500332061558,0.5,0.01596718444775415,0.0791180065354582,0.0791180065354582,0.834660039847387,False,False,ns,0.5016111930745848
BGNt_z,0.48948588357333217,0.3397717495972358,0.18260822280184696,0.33977174959723566,0.18260822280184696,30,-0.028709842765258696,0.26240924335041194,300,10.062192976751172,9.222449363806677e-13,0.9333333333333333,0.36848159236249434,1.6300317130585473,1.6300317130585473,2.766734809142003e-11,True,True,***,0.48948588357333217
TFSD_z,0.46937350786826704,-0.032564031995711805,0.21819147600011057,-0.0325640319957118,0.21819147600011052,30,0.014002269692949225,0.19898652938609018,300,-1.1231715329012992,0.2692327979093378,0.6333333333333333,-0.04656630168866102,-0.22300809928943224,0.22300809928943224,0.46154193927315057,False,False,ns,0.46937350786826704
SNRf_z,0.44755459849191176,0.0428686834408521,0.14788422208559265,0.04286868344085208,0.14788422208559265,30,-0.028720015383835916,0.19093853345206016,300,2.4547263978090266,0.018619806259001552,0.6,0.07158869882468799,0.41920229740302656,0.41920229740302656,0.05078128979727696,False,True,*,0.44755459849191176
Ht_z,-0.4274815050142421,-0.037671799829062734,0.19828787227065436,-0.03767179982906275,0.1982878722706544,30,0.0026710017366843915,0.2234423878368022,300,-1.0497169918725442,0.30069797736989884,0.5,-0.04034280156574714,-0.19098098306926206,0.19098098306926206,0.501163295616498,False,False,ns,0.4274815050142421
H_Renyi_z,-0.4044240721307201,-0.07569144866211076,0.20846024047041598,-0.07569144866211078,0.20846024047041598,30,-0.0043800536280991,0.26274230627257716,300,-1.7405275758604022,0.08968254969245777,0.6666666666666666,-0.07131139503401168,-0.30068968690385484,0.30068968690385484,0.1769177847739811,False,False,ns,0.4044240721307201
ACTspFract_z,-0.36339136310859327,-0.08596825665370184,0.17514739580977734,-0.08596825665370181,0.17514739580977734,30,-0.007467059041900039,0.2160057256986442,300,-2.2871178154664262,0.02778585046195587,0.7666666666666667,-0.07850119761180177,-0.39921146008085895,0.39921146008085895,0.07026915249321922,False,True,*,0.36339136310859327
BGNf_z,0.3317624964423068,0.4478600640531066,0.16206789174011452,0.4478600640531065,0.1620678917401145,30,-0.002482841672686973,0.26493771966892615,300,13.520051959909999,1.1127329269125265e-17,1.0,0.4503429057257935,2.050638959752782,2.050638959752782,6.676397561475159e-16,True,True,***,0.3317624964423068
VARf_z,0.2569259320424779,-0.025782340597815045,0.14735519279425283,-0.025782340597815052,0.14735519279425283,30,-0.006107566261050613,0.18590613400606296,300,-0.6792532049281224,0.5010023632308708,0.6,-0.01967477433676444,-0.11729199722973498,0.11729199722973498,0.7157176617583868,False,False,ns,0.2569259320424779
EVNtFraction_z,-0.2554840490440646,-0.04201144063845278,0.20153161642250644,-0.04201144063845278,0.20153161642250644,30,-0.022667642945972462,0.1951365115068528,300,-0.5026889227584382,0.6183620161937401,0.5,-0.01934379769248032,-0.09751872103996799,0.09751872103996799,0.7857161775671215,False,False,ns,0.2554840490440646
H_GiniSimpson_z,0.2514166691979446,0.01856630229962333,0.1840042410965081,0.01856630229962334,0.1840042410965081,30,-0.0026721691725134712,0.23095133076901642,300,0.5876089837497102,0.5602024421431148,0.5333333333333333,0.02123847147213681,0.10171611868504614,0.10171611868504614,0.7639124211042474,False,False,ns,0.2514166691979446
